DyadID,ParticipantID,TrialNum,ClickTime_s,Clicked
23231101,1,2,44.014896,1
23231101,1,3,35.265316,1
23231101,1,4,15.106961,1
23231101,1,5,28.349560,1
23231101,1,6,19.080873,1
23231101,1,7,57.405906,1
23231101,1,8,17.647934,1
23231101,1,9,32.322685,1
23231101,1,10,12.002201,1
23231101,1,11,19.802005,1
23231101,1,12,18.715711,1
23231101,1,13,26.837687,1
23231101,1,14,38.484809,1
23231101,1,15,29.002225,1
23231101,1,16,30.476548,1
23231101,1,17,24.077069,1
23231101,1,18,39.660685,1
23231101,2,1,50.050063,1
23231101,2,2,29.855873,1
23231101,2,3,56.857632,1
23231101,2,4,26.619696,1
23231101,2,5,27.705600,1
23231101,2,6,37.830058,1
23231101,2,7,57.519241,1
23231101,2,8,53.467862,1
23231101,2,9,29.699219,1
23231101,2,10,30.363077,1
23231101,2,11,NaN,0
23231101,2,12,17.827945,1
23231101,2,13,32.233920,1
23231101,2,14,55.138129,1
23231101,2,15,55.408513,1
23231101,2,16,46.528329,1
23231101,2,17,24.906304,1
23231101,2,18,28.892160,1
24231107,1,1,37.710613,1
24231107,1,2,8.798244,1
24231107,1,3,16.385501,1
24231107,1,4,7.432290,1
24231107,1,5,17.640177,1
24231107,1,6,8.275549,1
24231107,1,7,11.797300,1
24231107,1,8,7.343588,1
24231107,1,9,17.088415,1
24231107,1,10,15.681565,1
24231107,1,11,18.078733,1
24231107,1,12,22.233154,1
24231107,1,13,10.992336,1
24231107,1,14,13.322038,1
24231107,1,15,13.984787,1
24231107,1,16,11.029546,1
24231107,1,17,17.500640,1
24231107,1,18,19.807832,1
24231107,2,1,NaN,0
24231107,2,2,19.798085,1
24231107,2,3,56.427782,1
24231107,2,4,23.618356,1
24231107,2,5,NaN,0
24231107,2,6,33.594959,1
24231107,2,7,53.647364,1
24231107,2,8,29.037187,1
24231107,2,9,24.470178,1
24231107,2,10,19.575330,1
24231107,2,11,39.275503,1
24231107,2,12,44.007729,1
24231107,2,13,45.187708,1
24231107,2,14,43.036032,1
24231107,2,15,20.503456,1
24231107,2,16,30.455302,1
24231107,2,17,31.839043,1
24231107,2,18,28.941306,1
25231109,1,1,NaN,0
25231109,1,2,43.737867,1
25231109,1,3,33.475346,1
25231109,1,4,35.068676,1
25231109,1,5,NaN,0
25231109,1,6,40.340559,1
25231109,1,7,11.824137,1
25231109,1,8,13.178281,1
25231109,1,9,40.432365,1
25231109,1,10,9.757096,1
25231109,1,11,33.519482,1
25231109,1,12,48.855973,1
25231109,1,13,24.158245,1
25231109,1,14,40.133783,1
25231109,1,15,31.504700,1
25231109,1,16,31.593394,1
25231109,1,17,43.064289,1
25231109,1,18,23.767165,1
25231109,2,1,26.462700,1
25231109,2,2,43.742640,1
25231109,2,3,32.654054,1
25231109,2,4,32.668168,1
25231109,2,5,24.487248,1
25231109,2,6,30.632142,1
25231109,2,7,20.476163,1
25231109,2,8,35.895603,1
25231109,2,9,NaN,0
25231109,2,10,32.601741,1
25231109,2,11,33.236108,1
25231109,2,12,50.567288,1
25231109,2,13,16.722386,1
25231109,2,14,42.683804,1
25231109,2,15,13.260251,1
25231109,2,16,24.481928,1
25231109,2,17,37.420831,1
25231109,2,18,54.662751,1
26231121,1,1,40.377852,1
26231121,1,2,45.595369,1
26231121,1,3,NaN,0
26231121,1,4,45.664019,1
26231121,1,5,23.537554,1
26231121,1,6,37.195783,1
26231121,1,7,18.411646,1
26231121,1,8,33.685930,1
26231121,1,9,28.265022,1
26231121,1,10,40.699240,1
26231121,1,11,19.862540,1
26231121,1,12,46.720096,1
26231121,1,13,48.580404,1
26231121,1,14,42.041656,1
26231121,1,15,25.250502,1
26231121,1,16,32.578554,1
26231121,1,17,43.670063,1
26231121,1,18,27.166550,1
26231121,2,1,27.195427,1
26231121,2,2,38.154802,1
26231121,2,3,31.555654,1
26231121,2,4,22.940573,1
26231121,2,5,17.737475,1
26231121,2,6,31.711091,1
26231121,2,7,19.885248,1
26231121,2,8,34.170044,1
26231121,2,9,28.713239,1
26231121,2,10,40.619688,1
26231121,2,11,31.121541,1
26231121,2,12,21.214183,1
26231121,2,13,16.295291,1
